id,legId,flightTimeHours,flightTimeMinutes,totalTimeHours,totalTimeMinutes,daysInBetween,flightStops,stops,origin,destination,departureDate,arrivalDate,distanceValue,distanceUnits,isSelectable,hasTechnicalStop,travel_preference_id,match_preferences
1,15/LAX-DFW/NK3710,3,8,3,8,1,0,0,LAX,DFW,"2024-10-16 11:52:00","2024-10-16 14:52:00",1231,MI,1,0,NULL,True
2,15/LAX-DFW/DL3711,3,8,3,8,1,0,1,LAX,DFW,"2024-10-16 12:00:00","2024-10-16 16:00:00",1231,MI,1,0,NULL,True
3,15/LAX-DFW/WN3712,3,10,3,10,1,0,0,LAX,DFW,"2024-10-16 14:00:00","2024-10-16 17:10:00",1231,MI,1,0,NULL,True
4,15/LAX-DFW/AS3713,3,5,3,5,1,0,0,LAX,DFW,"2024-10-17 18:00:00","2024-10-17 21:05:00",1231,MI,1,0,NULL,True
5,15/LAX-DFW/UA3714,3,15,3,15,1,0,0,LAX,DFW,"2024-10-18 20:00:00","2024-10-18 23:15:00",1231,MI,1,0,NULL,True
31,15/LAX-DFW/UA3715,3,15,3,15,1,0,2,LAX,DFW,"2024-10-18 21:00:00","2024-10-19 03:15:00",1231,MI,1,0,NULL,True

6,15/DFW-LAX/DL3711,3,8,3,8,1,0,0,DFW,LAX,"2024-10-17 12:00:00","2024-10-17 15:00:00",1231,MI,1,0,NULL,True
7,15/DFW-LAX/UA3712,3,10,3,10,1,0,0,DFW,LAX,"2024-10-17 14:00:00","2024-10-17 17:10:00",1231,MI,1,0,NULL,True
8,15/DFW-LAX/NK3713,3,5,3,5,1,0,1,DFW,LAX,"2024-10-18 18:00:00","2024-10-18 22:05:00",1231,MI,1,0,NULL,True
9,15/DFW-LAX/WN3714,3,15,3,15,1,0,0,DFW,LAX,"2024-10-19 20:00:00","2024-10-19 23:15:00",1231,MI,1,0,NULL,True
10,15/DFW-LAX/AS3715,3,20,3,20,1,0,0,DFW,LAX,"2024-10-19 22:00:00","2024-10-20 01:20:00",1231,MI,1,0,NULL,True

11,15/LAX-SFO/WN3716,1,30,1,30,1,0,0,LAX,SFO,"2024-10-16 06:00:00","2024-10-16 07:30:00",337,MI,1,0,NULL,True
12,15/LAX-SFO/AS3717,1,25,1,25,1,0,2,LAX,SFO,"2024-10-16 09:00:00","2024-10-16 12:25:00",337,MI,1,0,NULL,True
13,15/LAX-SFO/UA3718,1,35,1,35,1,0,0,LAX,SFO,"2024-10-17 12:00:00","2024-10-16 13:35:00",337,MI,1,0,NULL,True
14,15/LAX-SFO/NK3719,1,30,1,30,1,0,0,LAX,SFO,"2024-10-17 16:00:00","2024-10-17 17:30:00",337,MI,1,0,NULL,True
15,15/LAX-SFO/DL3720,1,40,1,40,1,0,1,LAX,SFO,"2024-10-18 19:00:00","2024-10-18 21:40:00",337,MI,1,0,NULL,True

16,15/SFO-LAX/DL3721,1,30,1,30,1,0,0,SFO,LAX,"2024-10-17 06:00:00","2024-10-17 07:30:00",337,MI,1,0,NULL,True
17,15/SFO-LAX/AS3722,1,25,1,25,1,0,0,SFO,LAX,"2024-10-18 09:00:00","2024-10-18 10:25:00",337,MI,1,0,NULL,True
18,15/SFO-LAX/UA3723,1,35,1,35,1,0,0,SFO,LAX,"2024-10-17 12:00:00","2024-10-17 13:35:00",337,MI,1,0,NULL,True
19,15/SFO-LAX/NK3724,1,30,1,30,1,0,0,SFO,LAX,"2024-10-18 16:00:00","2024-10-18 17:30:00",337,MI,1,0,NULL,True
20,15/SFO-LAX/WN3725,1,40,1,40,1,0,0,SFO,LAX,"2024-10-20 19:00:00","2024-10-20 20:40:00",337,MI,1,0,NULL,True

21,15/LAX-MIA/DL3726,5,30,5,30,1,0,0,LAX,MIA,"2024-10-16 08:00:00","2024-10-16 13:30:00",2342,MI,1,0,NULL,True
22,15/LAX-MIA/UA3727,5,25,5,25,1,0,0,LAX,MIA,"2024-10-16 10:00:00","2024-10-16 15:25:00",2342,MI,1,0,NULL,True
23,15/LAX-MIA/NK3728,5,20,5,20,1,0,0,LAX,MIA,"2024-10-16 13:00:00","2024-10-16 18:20:00",2342,MI,1,0,NULL,True
24,15/LAX-MIA/WN3729,5,15,5,15,1,0,1,LAX,MIA,"2024-10-17 16:00:00","2024-10-17 22:15:00",2342,MI,1,0,NULL,True
25,15/LAX-MIA/AS3730,5,35,5,35,1,0,0,LAX,MIA,"2024-10-17 19:00:00","2024-10-17 23:35:00",2342,MI,1,0,NULL,True

26,15/MIA-LAX/DL3731,5,30,5,30,1,0,0,MIA,LAX,"2024-10-20 08:00:00","2024-10-20 13:30:00",2342,MI,1,0,NULL,True
27,15/MIA-LAX/UA3732,5,25,5,25,1,0,1,MIA,LAX,"2024-10-20 10:00:00","2024-10-20 16:25:00",2342,MI,1,0,NULL,True
28,15/MIA-LAX/NK3733,5,20,5,20,1,0,0,MIA,LAX,"2024-10-20 13:00:00","2024-10-20 18:20:00",2342,MI,1,0,NULL,True
29,15/MIA-LAX/WN3734,5,15,5,15,1,0,2,MIA,LAX,"2024-10-22 16:00:00","2024-10-22 23:15:00",2342,MI,1,0,NULL,True
30,15/MIA-LAX/AS3735,5,35,5,35,1,0,0,MIA,LAX,"2024-10-22 19:00:00","2024-10-22 23:35:00",2342,MI,1,0,NULL,True
